Number,Question,StartTime,EndTime,BasePoints,AdditionalBonusPoints,AdditionalBonusInstructions
101,What is the likely IPv4 address of someone from the Po1s0n1vy group scanning imreallynotbatman.com for web application vulnerabilities?,0,1794777456,100,,
102,What company created the web vulnerability scanner used by Po1s0n1vy?,0,1794777456,100,,
103,What content management system is imreallynotbatman.com likely using?,0,1794777456,100,,
104,What is the name of the file that defaced the imreallynotbatman.com website? Please submit only the name of the file with extension?,0,1794777456,100,,
105,This attack used dynamic DNS to resolve to the malicious IP. What fully qualified domain name (FQDN) is associated with this attack?,0,1794777456,100,,
106,What IPv4 address has Po1s0n1vy tied to domains that are pre-staged to attack Wayne Enterprises?,0,1794777456,100,,
108,What IPv4 address is likely attempting a brute force password attack against imreallynotbatman.com?,0,1794777456,100,,
109,What is the name of the executable uploaded by Po1s0n1vy?,0,1794777456,100,,
11001,What is the MD5 hash of the executable uploaded? (part 1 of 2),0,1794777456,100,,
11002,What is the MD5 hash of the executable uploaded? (part 2 of 2),0,1794777456,100,,
112,What special hex code is associated with the customized malware discussed in question 11?,0,1794777456,100,,
114,What was the first brute force password used?,0,1794777456,100,,
115,One of the passwords in the brute force attack is James Brodsky's favorite Coldplay song. We are looking for a six character word on this one. Which is it?,0,1794777456,100,,
116,"What was the correct password for admin access to the content management system running ""imreallynotbatman.com""?",0,1794777456,100,,
117,What was the average password length used in the password brute forcing attempt? (Round to the closest whole integer),0,1794777456,100,,
118,How many seconds elapsed between the time the brute force password scan identified the correct password and the compromised login? (Round to 2 decimal places),0,1794777456,100,,
119,How many unique passwords were attempted in the brute force attempt?,0,1794777456,100,,
200,What was the most likely IPv4 address of we8105desk on 24AUG2016?,0,1794777456,200,,
201,"Amongst the Suricata signatures that detected the Cerber malware, which one alerted the fewest number of times? Submit ONLY the signature ID value as the answer. (No puinctuation, just 7 digits)",0,1794777456,200,,
202,What fully qualified domain name (FQDN) does the Cerber ransomware attempt to direct the user to at the end of its encryption phase?,0,1794777456,200,,
203,What was the first suspicious domain visited by we8105desk on 24AUG2016?,0,1794777456,200,,
204,"During the initial Cerber infection a VB script is run. The entire script from this execution, pre-pended by the name of the launching .exe, can be found in a field in Splunk. What is the length of the value of this field?",0,1794777456,200,,
205,What is the name of the USB key inserted by Bob Smith?,0,1794777456,200,,
206,Bob Smith's workstation (we8105desk) was connected to a file server during the ransomware outbreak. What is the IPv4 address of the file server?,0,1794777456,200,,
207,How many distinct PDFs did the ransomware encrypt on the remote file server?,0,1794777456,200,,
208,The VBscript found in question 204 launches 121214.tmp. What is the ParentProcessId of this initial launch?,0,1794777456,200,,
209,The Cerber ransomware encrypts files located in Bob Smith's Windows profile. How many .txt files does it encrypt?,0,1794777456,200,,
210,The malware downloads a file that contains the Cerber ransomware cryptor code. What is the name of that file?,0,1794777456,200,,
211,"Now that you know the name of the ransomware's encryptor file, what obfuscation technique does it likely use?",0,1794777456,200,,
